OID_,TreID_1,DATEPLANTE,nw_ddrs,GGC_PUB,REPLACE,COMMENT,Cultivar,GGC_SEA,GGC_YEA,CITY_GG,Family,Genus,Deciduous,Broadleaf,Species,Native_Sta,DBH_dcr,Hght_dc,ADDRESS,OWNERAD,RD_NUM,RD_NUMB,RD_NAME,RD_SUFF,dt_strn,BSp_17,Cmmnt_1,DBH1_17,DBH2_17,Hght_17,LUse_17,M_17,StTp_17,V_17,Wth_17,CommonName,NewTrID,Rnd_Smp,H17_Smp,DBH2H_17,DBH1H_17,HERO2017,StTp_24,LUse_24,Bsp_24,V_24,Con_24,Com_24,Crew_24,DBH1_24,DBH1H_24,DBH2_24,DBH2H_24,Hgt_24,Wth_24,D_24,M_24,CreationDate,Creator,EditDate,Editor,X,Y
1503,200960,6/3/2016,601 BROADWAY,PRIVATE, , ,Malus spp.,SPRING,2016,CHELSEA,Rosaceae,Malus,Deciduous,Broadleaf,Malus spp.,Non Native,0, , ,601 Broadway,601, ,BROADWAY, ,62016,1, ,0.8,0,8,INST,A, ,14,4.166666667,Apple,1684,0,1,0,54,1,OM,INST,Yes,1,Good, , ML TH EG,3.5,35,0,0,11.6,13,6/26/2024 19:11,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238619.1073,904976.0046
751,201054,6/6/2014,BROADWAY,PRIVATE, ,St. Rose Rectory,Abies concolor,SPRING,2014,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies concolor,Native,0, , , ,0, ,BROADWAY, ,62014,1, ,2.11,0,8.5,INST,A, ,9,4.875,White Fir,1441,1,1,0,54,1,OM,INST,No,1,Good, , ML TH EG,5.3,54,0,0,16.5,8.5,6/26/2024 19:20,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238628.654,904972.9925
1309,200590,5/15/2015,601 BROADWAY,PRIVATE, ,Phone for rectory,Cornus mas,SPRING,2015,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus mas,Non Native,0, , ,601 Broadway,601, ,BROADWAY, ,52015,1, ,1.67,0,7,INST,A, ,9,3.75,Cornelian Cherry,524,0,1,0,54,1,OM,INST,No,1,Good, , ML TH EG,4.9,6,0,0,13.5,8.5,6/26/2024 19:23,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,238626.6153,904968.357
750,200503,6/6/2014,BROADWAY,PRIVATE, ,St. Rose Rectory,Magnolia x loebneri 'Leonard Messel',SPRING,2014,CHELSEA,Magnoliaceae,Magnolia,Deciduous,Broadleaf,Magnolia x loebneri,Non Native,0, , , ,0, ,BROADWAY, ,62014,1, ,1.4,0,5.666666667,INST,A, ,8,3.916666667,Loebner Magnolia,1440,1,1,0,16,1,OM,INST,No,1,Good, , ML TH EG,5.9,9,0,0,11.6,12,6/26/2024 19:24,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:57,ANelson_clarku,238638.6447,904969.1997
881,200662,6/3/2016,BROADWAY,PRIVATE, , ,Abies fraseri,SPRING,2016,CHELSEA,Pinaceae,Abies,Evergreen,Conifer,Abies fraseri,Non Native,0, , ,601-603 Broadway,0, ,BROADWAY, ,62016,1, ,1.1,0,6,INST,A,SY,8,4.208333333,Fraser Fir,1688,1,1,0,54,1,OM,INST, , , , , TH ML EGB,0,0,0,0,0,0,6/26/2024 19:09,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:58,ANelson_clarku,238611.5857,904978.908
1504,200270,5/31/2016,89 JEFFERSON AVENUE,PRIVATE,Yes,Replacement tree,Liriodendron tulipifera,SPRING,2016,CHELSEA,Magnoliaceae,Liriodendron,Deciduous,Broadleaf,Liriodendron tulipifera,Native,0, , ,89 Jefferson Ave,89,89,JEFFERSON,AVENUE,52016,1, ,1.12,0,10.5,SFR,A,FY,7,5.625,Tulip Tree,1689,0,1,0,54,1,FY,SFR-D,No,1,Good, , TH AC QCM ,5.6,50,0,0,18,15,6/25/2024 18:28,Alive,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238712.9377,905989.9165
1432,200473,4/29/2014,ESSEX STREET,PUBLIC, , ,Cornus spp.,SPRING,2014,CHELSEA,Cornaceae,Cornus,Deciduous,Broadleaf,Cornus spp.,Non Native,0, , ,Corner of Pearl & Essex St,0, ,ESSEX,STREET,42014,N, ,1.91,0,12.5,COMM,SD,SC,5,3.833333333,Dogwood,1509,0,1,0,48,1,SC,COMM, , , , , ACEGBJRK,0,0,0,0,0,0,6/24/2024 17:40,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238082.3528,904438.0258
1483,200594,6/5/2014,101 PARK STREET,PUBLIC, , ,Acer x freemanii 'Armstrong',SPRING,2014,CHELSEA,Sapindaceae,Acer,Deciduous,Broadleaf,Acer x freemanii,Non Native,0, , ,101 Park St,101,101,PARK,STREET,62014,N,carvings on tree trunk,1.89,0,15,COMM,SD,SC,5,2.791666667,Freeman Maple,1628,0,1,0,54,1,SC,COMM, , , ,  Replaced with an elm, ACEGBJRK,0,0,0,0,0,0,6/24/2024 17:38,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:01,ANelson_clarku,238043.3384,904453.9821
1316,200147,4/16/2015,20 BROADWAY,PUBLIC, , ,Amelanchier arborea,SPRING,2015,CHELSEA,Rosaceae,Amelanchier,Deciduous,Broadleaf,Amelanchier arborea,Native,0, , ,20 Broadway,20, ,BROADWAY, ,42015,N,Species inccorect dead,2.9,0,16,IND,SD,SC,5,7.458333333,Downy Serviceberry,551,0,1,0,54,1,SC,IND, , , , , ACEGBJRK,0,0,0,0,0,0,6/24/2024 13:36,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 3:00,ANelson_clarku,237499.1238,904194.4095
221,201039,11/12/2015,738 BROADWAY,PUBLIC, , ,Cercidiphyllum japonicum,FALL,2015,CHELSEA,Cercidiphyllaceae,Cercidiphyllum,Deciduous,Broadleaf,Cercidiphyllum japonicum,Non Native,0, , ,738 Broadway,738, ,BROADWAY, ,112015,N,In front of Inglesia la luz de cristo,0,0,0,IND,SD,SC,5,0,Katsura Tree,353,1,1,0,0,1,SC,INST, , , , , EGB ML TH,0,0,0,0,0,0,6/27/2024 18:11,Removed,6/20/2024 19:00,ANelson_clarku,7/1/2024 2:54,ANelson_clarku,238899.9796,905227.2792
