DATEPLANTE,REPLACEMEN,Cultivar,Pub_Priv,Family,Genus,Deciduous,Species,Native_Sta,lat,long,Observe_17,StTp_17,LUse_17,DBH1_17,DBH2_17,Hgt_17,Wth_17,M_17,BSp_17,V_17,HERO2017,unique,NewTreeID,area,StTp_24,LUse_24,DBH1_24,DBH1H_24,DBH2_24,DBH2H_24,Hgt_24,Wth_24,BSp_24,M_24,V_24,Con_24,Crew_24,Date_24,DBH1H_17,DBH2H_17,commonName
6/2/15, ,Syringa reticulata,PUBLIC,Oleaceae,Syringa,Deciduous,Syringa reticulata,Non Native,883115,106744,5/1/17,SP,SFR,1,NA,10.33333333,2.708333333, , ,0,1,1,52,5,FY,MFR,2.1,49,0,0,9,6.5,No,Alive,2,Fair,ACACJRK,6/10/24,54,0,Japanese Tree Lilac
10/13/15, ,Maackia amurensis,PUBLIC,Fabaceae,Maackia,Deciduous,Maackia amurensis,Non Native,882701,106948,6/1/17,SP,SFR,1.71,NA,6,2.458333333,A,N,3,1,1,25,3, , ,0,0,0,0,0,0, ,Unknown, , , , ,32,0,Amur Maackia
6/3/16, ,Prunus cerasifera 'Krauter Vesuvius',PUBLIC,Rosaceae,Prunus,Deciduous,Prunus cerasifera,Non Native,884599,107856,5/30/17,SP,SFR,0.7,NA,7.5,3.5,A,N,1,1,1,26,19,SP,SFR-D,4.5,28,0,0,13,13.5,No,Alive,1,Good,"QCM, TH, EGB",6/10/24,29,0,Cherry Plum
4/28/16, ,Liriodendron tulipifera,PUBLIC,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,884424,107801,5/30/17,SP,SFR,1.3,NA,12,5.895833333,A,N,1,1,1,46,11,SP,SFR-D,4.1,54,0,0,24,13,No,Alive,1,Good,EGB QCN TH,6/10/24,54,0,Tulip Tree
4/28/16, ,Platanus x acerifolia 'Bloodgood',PUBLIC,Platanaceae,Platanus,Deciduous,Platanus x acerifolia,Non Native,884416,107796,5/30/17,SP,MFR,1.2,NA,11,4.604166667,A,N,1,1,1,45,11,SP,SFR-D,3.2,54,0,0,13,12.5,No,Alive,1,Good,EGB QCN TH,6/10/24,54,0,London Planetree
5/2/16, ,Tilia cordata,PUBLIC,Malvaceae,Tilia,Deciduous,Tilia cordata,Non Native,884404,107787,5/30/17,SP,SFR,1.14,NA,11,7.708333333,A,N,1,1,1,47,11,SP,SFR-D,3.9,25,0,0,14,9,No,Alive,1,Good,EGB QCN TH,6/10/24,54,0,Littleleaf Linden
4/27/16, ,Acer x freemanii 'Armstrong',PUBLIC,Sapindaceae,Acer,Deciduous,Acer x freemanii,Non Native,884987,108350,6/5/17,SP,IND,1.62,NA,12.5,4.416666667,A,N,0,1,1,224,22,OM,IND,7.3,34,0,0,28,10.5,No,Alive,1,Good,TH EGB QCM,6/3/24,54,0,Freeman Maple
4/27/16, ,Acer x freemanii 'Armstrong',PUBLIC,Sapindaceae,Acer,Deciduous,Acer x freemanii,Non Native,884976,108365,6/5/17,SP,IND,1.73,NA,13,3.625,A,N,1,1,1,225,22,OM,IND,7.1,54,0,0,27.8,13,No,Alive,1,Good,TH EGB QCM,6/3/24,54,0,Freeman Maple
5/3/16, ,Tilia cordata,PUBLIC,Malvaceae,Tilia,Deciduous,Tilia cordata,Non Native,883255,107107,5/1/17,SP,SFR,1,NA,10,3.5,A,N,2,1,1,4,5,SP,MFR,5,32,0,0,14.5,8.5,No,Alive,3,Poor,ACACJRK,6/10/24,54,0,Littleleaf Linden
5/15/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,884233,108335,6/20/17,SP,INST,1.2,NA,10.5,4.75,A,N,1,1,1,790,18,MP,MP,7.5,54,0,0,32.3,19,No,Alive,1,Good,TH JHK AEC,6/7/24,54,0,Tulip Tree
5/18/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,884221,108352,6/20/17,SP,INST,1.2,NA,9.5,4.333333333,A,N,1,1,1,789,18,MP,MP,4.2,1,0,0,8,5.75,Yes,Alive,1,Good,TH JHK AEC,6/7/24,54,0,Tulip Tree
5/18/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,884222,108326,6/20/17,SP,INST,1.7,NA,14.5,8,A,N,1,1,1,788,18,MP,MP,7.6,54,0,0,34.3,17.5,No,Alive,1,Good,TH JHK AEC,6/7/24,54,0,Tulip Tree
5/18/15, ,Acer rubrum,PRIVATE,Sapindaceae,Acer,Deciduous,Acer rubrum,Native,884228,108330,6/20/17,SP,INST,1.21,NA,11.5,7.166666667,A,N,2,1,1,791,18,MP,MP,5.1,50,0,0,26.5,15.5,No,Alive,1,Good,TH JHK AEC,6/7/24,54,0,Red Maple
5/20/15, ,Amelanchier canadensis,PUBLIC,Rosaceae,Amelanchier,Deciduous,Amelanchier canadensis,Native,882873,107008,6/1/17,SC,MFR,0.81,NA,10,6,A,Y,1,1,1,9,3,SP,MFR,3.1,54,0,0,14,14,Yes,Alive,1,Good,ACKSJRK,6/12/24,54,0,Canadian Serviceberry
5/15/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,883546,108028,6/12/17,OM,IND,1,NA,8.5,4.25,A,N,1,1,1,767,10,OM,IND,4.2,54,0,0,28,14,No,Alive,1,Good,AN KS JHK,6/10/24,54,0,Tulip Tree
5/15/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,883552,108022,6/12/17,OM,IND,0.97,NA,10,4.75,A,N,1,1,1,765,10,OM,IND,5.3,50,0,0,25,16,No,Alive,1,Good,AN KS JHK,6/10/24,54,0,Tulip Tree
5/15/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,883603,108062,6/12/17,OM,IND,0.87,NA,7,5.166666667,A,Y,1,1,1,760,10,OM,IND,4.9,54,0,0,25,15.5,No,Alive,1,Good,AN KS JHK,6/10/24,54,0,Tulip Tree
5/15/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,883560,108027,6/12/17,OM,IND,1.15,NA,10.5,5.333333333,A,Y,1,1,1,768,10,OM,IND,8.3,33,0,0,32,22,Yes,Alive,1,Good,AN KS JHK,6/10/24,54,0,Tulip Tree
5/15/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,883567,108034,6/12/17,OM,IND,1,NA,8,5.5,A,N,1,1,1,762,10,OM,IND,8.5,31,0,0,29,22,No,Alive,1,Good,AN KS JHK,6/10/24,54,0,Tulip Tree
5/15/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,883576,108040,6/12/17,OM,IND,0.92,NA,9.5,5.291666667,A,N,1,1,1,749,10,OM,IND,6.5,27,0,0,26,16,Yes,Alive,1,Good,AN KS JHK,6/10/24,54,0,Tulip Tree
5/15/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,883583,108046,6/12/17,OM,IND,1.1,NA,10,5.25,A,N,1,1,1,766,10,OM,IND,4.7,28,0,0,25,12.5,No,Alive,1,Good, ,6/10/24,54,0,Tulip Tree
5/15/15, ,Liriodendron tulipifera,PRIVATE,Magnoliaceae,Liriodendron,Deciduous,Liriodendron tulipifera,Native,883590,108052,6/12/17,OM,IND,0.95,NA,10,5.541666667,A,N,1,1,1,759,10,OM,IND,4.7,54,0,0,23,15.25,No,Alive,1,Good,AN KS JHK,6/10/24,54,0,Tulip Tree
