ID,SPECIES,SEASON,STREET,PROPERT,BaslnYr,Mrtl_S1,Mrtl_S2,Nrwy_Mp,LandUse,SiteTyp,Address,nTrePrp,D_IMPERVS,D_BLDNGS,D_CANOPY,TOTAL_VAL,OWN_ADDR,OWN_CITY,SITE_ADDR,YEAR_BUILT,OWN_OCC,Cmmnt_1,Cmmnt_2,Cmmnt_3,Cmmnt_4,X,Y,Alive_S1,Alive_S2,LOT_SIZE,ageS2,ageS1,TSurvey,npermits
18053,Dawn Redwood,Spring 2011,W BOYLSTON ST,1232,15,Removed,Removed,No,SFR-D,BY,1232 W BOYLSTON ST,2,10.01151059,11.9147197,0,339800,1233 W BOYLSTON ST,WORCESTER,1233 W BOYLSTON ST,1951,TRUE,NA,NA,NA,NA,176392.1625,898757.128,Dead,Dead,0.24,12.28767123,4.282191781,8.005479449,NA
18051,Blackgum,Spring 2011,W BOYLSTON ST,1232,15,Removed,Removed,No,SFR-D,BY,1232 W BOYLSTON ST,2,10.21541931,10.8409784,0,339800,1232 W BOYLSTON ST,WORCESTER,1232 W BOYLSTON ST,1951,TRUE,NA,NA,NA,NA,176391.3893,898762.2682,Dead,Dead,0.24,12.28767123,4.282191781,8.005479449,NA
13120,Honeylocust,Fall 2011,BROOKS ST,50,16,Alive,Alive,Yes,MFR,BY,50 BROOKS ST,1,8.623732067,10.06334066,0,244600,50 BROOKS ST,WORCESTER,50 BROOKS ST,2005,TRUE,NA,NA,NA,NA,175141.4744,895687.9,Alive,Alive,0.43,11.75068493,4.745205479,7.005479451,NA
10482,Yellowwood,Fall 2011,PARK VILLA AVE,10,14,Alive,Alive,No,SFR-D,BY,10 PARK VILLA AVE,1,12.31675373,15.2909575,0,280700,10 PARK VILLA AVE,WORCESTER,10 PARK VILLA AVE,1953,TRUE,NA,NA,NA,NA,175607.9065,897594.8823,Alive,Alive,0.7973,11.75068493,2.745205479,9.005479451,NA
1053885,White Pine,Spring 2012,WEST BOYLSTON ST,1239,16,Alive,Alive,No,SFR-D,BY,1239 WEST BOYLSTON ST,1,24.44400758,28.91529373,9.240693504,305800,1239 WEST BOYLSTON ST,WORCESTER,1239 WEST BOYLSTON ST,1907,TRUE,NA,NA,Brown tips on needles,NA,176297.3002,898788.9192,Alive,Alive,0.7507,11.26027397,4.254794521,7.005479449,NA
10780,Littleleaf Linden,Fall 2011,STANLEY RD,7,16,Alive,Alive,Yes,SFR-D,BY,7 STANLEY RD,1,2.593726651,12.11112861,2.590672944,405200,7 STANLEY RD,WORCESTER,7 STANLEY RD,1913,TRUE,NA,NA,NA,Unable to access,175288.1359,896034.7782,Alive,Alive,0.5372,11.75068493,4.745205479,7.005479451,NA
12751,Ginkgo,Fall 2011,DAVIDSON RD,41,15,Removed,Removed,No,SFR-D,BY,41 DAVIDSON RD,2,1.894262985,0.762239454,4.180776213,403500,41 DAVIDSON ROAD,WORCESTER,41 DAVIDSON RD,1900,FALSE,NA,NA,NA,NA,176351.2544,893850.7703,Dead,Dead,0.4707,11.75068493,3.745205479,8.005479451,NA
12748,Dawn Redwood,Fall 2011,DAVIDSON RD,41,15,Alive,Alive,No,SFR-D,BY,41 DAVIDSON RD,2,5.172216875,5.790687561,0.268878438,403500,41 DAVIDSON ROAD,WORCESTER,41 DAVIDSON RD,1900,FALSE,NA,Check if location ID is correct,NA,NA,176332.4291,893862.0721,Alive,Alive,0.4707,11.75068493,3.745205479,8.005479451,NA
16137,Serviceberry,Spring 2011,MARY ANN DR,5,15,Alive,Alive,Yes,SFR-D,BY,5 MARY ANN DR,14,13.56628818,25.68930726,2.753345023,340400,15 WOODBERRY RD,SUDBURY,5 MARY ANN DR,1952,FALSE,NA,NA,NA,NA,175877.6905,894220.9625,Alive,Alive,0.4635,12.28767123,4.282191781,8.005479449,1
16136,Serviceberry,Spring 2011,MARY ANN DR,5,15,Alive,Removed,Yes,SFR-D,BY,5 MARY ANN DR,14,12.82617132,11.4797231,7.519617228,340400,15 WOODBERRY RD,SUDBURY,5 MARY ANN DR,1952,FALSE,NA,NA,NA,Heavily forested,175879.6309,894203.4465,Alive,Dead,0.4635,12.28767123,4.282191781,8.005479449,1
